Student_ID,Gender,Institution,Level,Course,CGPA,WAEC_Grades,UTME_Score
S00001,Male,UniJos,400,Accounting,3.23,5 A's,158
S00002,Female,UniJos,200,Economics,3.32,6 C's,161
S00003,Male,UniIbadan,300,Accounting,4.39,8 A's,353
S00004,Male,Unizik,100,Engineering,1.31,5 A's,262
S00005,Female,Unizik,400,Economics,3.56,5 A's,197
S00006,Female,Unizik,100,Accounting, ,9 D's,365
S00007,Male,UniIlorin,200,Accounting,4.76,9 C's,387
S00008,Male,UniIbadan,200,Law,3.83,7 C's,NaN
S00009,Male,UniIlorin,300,Medicine,4.04,8 A's,200
S00010,Male,Unilag,300,Law,4.16,,200
S00011,Male,Uniport,200,Accounting,2.24,5 D's,163
S00012,Female,Unizik,100,Engineering,1.77,5 B's,250
S00013,Female,Unilag,400,Economics,NaN,9 A's,352
S00014,Female,UniIlorin,400,Economics,,5 A's,353
S00015,Male,Uniben,100,Engineering,4.93,8 D's,228
S00016,Female,Uniport,200,Engineering,1.34,8 C's,373
S00017,Female,UniIlorin,100,Accounting,4.82,6 C's,308
S00018,Female,Uniport,300,Economics,3.01,6 C's,336
S00019,Male,UniJos,100,Computer Science,4.35,5 A's,273
S00020,Male,Unizik,300,Medicine,2.04,9 A's,181
S00021,Female,Unizik,100,Economics,4.13,6 A's,201
S00022,Female,Unizik,100,Accounting,3.11,5 C's,232
S00023,Male,Unizik,300,Medicine,2.1,8 B's,389
S00024,Other,UniIbadan,400,Economics,2.02,8 A's,242
S00025,Male,Uniben,300,Medicine,NaN,6 C's,244
S00026,Female,UniIbadan,300,Computer Science,1.84,8 B's,abc
S00027,Female,Unizik,300,Accounting,4.18,9 C's,353
S00028,Female,Unilag,100,Economics,3.74,8 D's,227
S00029,Female,UniIlorin,300,Engineering,1.96,7 B's,201
S00030,Female,Uniben,400,Law,1.82,9 B's,345
S00031,Male,UniJos,100,Engineering,abc,,329
S00032,Male,Unizik,400,Accounting,3.28,7 B's,NaN
S00033,Female,Unizik,100,Medicine,2.02,9 C's,
S00034,Male,UniJos,200,Accounting,1.18,8 A's,390
S00035,Male,UniJos,200,Medicine,1.77,8 A's,360
S00036,Male,Uniben,400,Law,,,279
S00037,Female,UniIlorin,100,Accounting,4.37,,186
S00038,Female,UniIbadan,300,Law,3.89,8 A's,200
S00039,Female,UniIlorin,100,Accounting,3.09,5 C's,310
S00040,Male,UniJos,400,Economics,1.19,9 C's,382
S00041,Female,Unizik,100,Accounting,2.14,6 B's,256
S00042,Male,Unizik,400,Accounting,1.73,8 B's,282
S00043,Female,Unilag,100,Law,4.94,9 C's,177
S00044,Female,Uniport,100,Accounting, ,8 A's,195
S00045,Male,Uniport,300,Medicine,1.46,8 A's,316
S00046,Female,Uniport,300,Engineering,2.16,8 C's, 
S00047,Male,Uniben,400,Economics,3.18,8 B's,285
S00048,Female,Uniport,300,Engineering,2.38,8 C's,286
S00049,Female,UniJos,300,Computer Science,2.68,5 D's,247
S00050,Female,UniIbadan,100,Accounting,3.81,6 A's,334
S00051,Female,Uniben,400,Medicine,1.67,9 A's,abc
S00052,Male,Unilag,300,Medicine,4.49,9 B's,394
S00053,Female,Unilag,300,Law,4.7,8 A's,168
S00054,Male,Unilag,100,Engineering,1.18,7 B's,384
S00055,Female,Uniport,100,Law,4.43,6 D's,373
S00056,Female,Uniport,300,Economics,,7 C's, 
S00057,Male,UniIbadan,400,Medicine,2.99,6 D's,171
S00058,Female,Uniben,300,Law,4.64,8 A's,383
S00059,Male,Uniport,200,Law,2.62,8 B's,338
S00060,Male,Unilag,300,Economics,3.93,8 A's,288
S00061,Male,Uniport,400,Accounting,4.8,6 A's,394
S00062,Female,UniJos,300,Medicine,3.56,5 A's,330
S00063,Male,UniJos,400,Engineering,3.7,6 D's,279
S00064,Other,Uniben,300,Medicine,3.78,9 A's,150
S00065,Female,UniIlorin,100,Engineering,3.25,9 A's,236
S00066,Female,UniIbadan,100,Medicine,1.42,9 B's,392
S00067,Male,UniIlorin,100,Computer Science,abc,5 B's,213
S00068,Male,Uniben,400,Accounting,not available,8 C's,298
S00069,Female,Unilag,200,Law,4.72,6 B's,316
S00070,Female,UniIlorin,300,Computer Science,4.43,6 D's,293
S00071,Male,Unizik,300,Medicine,3.25,8 A's,173
S00072,Male,UniJos,100,Law,2.63,5 A's,349
S00073,Male,UniJos,300,Law,2.81,6 A's,324
S00074,Female,Uniben,400,Engineering,NaN,8 C's,315
S00075,Male,UniIbadan,200,Accounting,3.52,6 A's,296
S00076,Male,UniIbadan,100,Medicine,3.21,7 B's,292
S00077,Female,UniIbadan,400,Economics,3.15,6 D's,207
S00078,Female,UniIlorin,100,Medicine,3.71,6 C's,289
S00079,Female,Uniben,100,Computer Science,2.88,8 C's,213
S00080,Male,UniIbadan,100,Computer Science,not available,9 A's,226
S00081,Female,Unilag,200,Accounting,2.56,5 A's,311
S00082,Male,Unizik,100,Engineering,4.39,9 C's,346
S00083,Male,UniIlorin,100,Computer Science, ,8 B's,246
S00084,Male,UniIbadan,100,Accounting,1.08,8 A's,248
S00085,Male,Uniben,400,Accounting,1.42,9 C's,387
S00086,Male,Unilag,400,Engineering,1.1,5 D's,159
S00087,Female,Uniport,100,Computer Science,2.44,5 C's,347
S00088,Male,Uniport,400,Economics,4.42,5 C's,not available
S00089,Female,Uniben,400,Law,1.51,8 B's,322
S00090,Female,UniIbadan,400,Accounting,1.04,5 D's,294
S00091,Female,Uniben,200,Medicine,1.1,6 C's,239
S00092,Male,UniIlorin,200,Economics,3.49,9 B's,298
S00093,Female,Uniben,400,Accounting,,6 A's,385
S00094,Female,UniJos,400,Engineering,1.68,7 B's,abc
S00095,Male,UniIlorin,100,Accounting,abc,9 D's,388
S00096,Male,UniJos,400,Engineering,2.91,5 C's,245
S00097,Female,UniIlorin,100,Medicine,3.96,8 D's,259
S00098,Male,UniIlorin,300,Computer Science,2.85,5 C's,317
S00099,Male,UniJos,200,Engineering,3.78,6 D's,342
S00100,Female,UniIbadan,200,Computer Science,3.02,5 B's, 
S00101,Other,Uniport,100,Engineering,4.72,7 B's,256
S00102,Female,UniIlorin,300,Economics,3.88,9 C's,189
S00103,Male,UniJos,300,Economics,1.79,5 D's,295
S00104,Female,Uniben,100,Medicine,3.07,6 B's,161
S00105,Male,Unizik,100,Law,3.45,6 D's,247
S00106,Male,Unizik,300,Engineering,1.58,6 B's,216
S00107,Female,UniJos,400,Computer Science,3.79,5 B's,217
S00108,Male,UniIlorin,400,Accounting,2.31,,183
S00109,Male,UniIlorin,200,Accounting,1.55,9 B's,324
S00110,Female,Unilag,400,Medicine,3.97,5 C's,358
S00111,Female,UniIlorin,100,Medicine,3.29,5 C's,213
S00112,Male,Unilag,400,Economics,3.2,8 B's,NaN
S00113,Male,Unizik,100,Medicine, ,,367
S00114,Male,UniIbadan,100,Medicine,2.99,7 C's,237
S00115,Other,Unizik,200,Medicine,2.3,5 C's,309
S00116,Female,Unilag,100,Law, ,9 A's,389
S00117,Male,Uniben,200,Engineering,4.43,6 C's,320
S00118,Female,Uniben,300,Accounting,2.84,6 C's,255
S00119,Male,UniIbadan,100,Computer Science,2.93,6 D's,367
S00120,Female,UniJos,300,Law,2.96,8 A's, 
S00121,Female,UniIbadan,400,Economics,abc,6 B's,157
S00122,Male,Unizik,400,Accounting,1.61,8 B's,299
S00123,Female,Unizik,400,Law,,7 B's,371
S00124,Male,Unizik,400,Law,4.96,8 A's,349
S00125,Female,Unilag,400,Medicine,4.02,7 B's,333
S00126,Female,UniIbadan,300,Computer Science,1.72,5 A's,315
S00127,Female,Uniben,400,Law,2.45,6 A's,227
S00128,Female,UniIbadan,200,Engineering,1.29,5 B's,372
S00129,Male,UniIbadan,100,Economics,3.21,9 C's,235
S00130,Male,UniIlorin,100,Engineering,1.73,7 C's,168
S00131,Other,UniIbadan,100,Economics,2.33,8 B's,296
S00132,Male,UniJos,100,Economics,2.95,8 D's,194
